no,카테고리명,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,화면경로,담당자,진행상태,완료일,비고
1,취업패스,메인,,,,,html/PJ_PG01_001.html,,완료,2024-03-11,수정 20240311
2,취업패스,브랜드,,,,,html/PJ_PG02_001.html,,완료,2024-03-11,수정 20240311
3,취업패스,강사진 소개,,,,,html/PJ_PG03_001.html,,완료,2024-03-11,
4,취업패스,,상세페이지,,,,html/PJ_PG03_002.html,,완료,2024-03-11,수정 20240311
5,취업패스,교육환경,,,,,html/PJ_PG04_001.html,,완료,2024-03-12,
6,취업패스,자소서 전문과정,자소서첨삭,,,,html/PJ_PG05_001.html,,완료,2024-03-12,
7,취업패스,,자소서 올인원,,,,html/PJ_PG05_002.html,,완료,2024-03-12,
8,취업패스,면접 전문과정,대기업,,,,html/PJ_PG06_001.html,,완료,2024-03-12,
9,취업패스,,공기업,,,,html/PJ_PG06_002.html,,완료,2024-03-12,
10,취업패스,,금융권,,,,html/PJ_PG06_003.html,,완료,2024-03-12,
11,취업패스,,공무원,,,,html/PJ_PG06_004.html,,완료,2024-03-12,
12,취업패스,,대학원,,,,html/PJ_PG06_005.html,,완료,2024-03-12,
13,취업패스,외부/단체교육,학교강연,,,,html/PJ_PG07_001.html,,완료,2024-03-12,
14,취업패스,,기업강연,,,,html/PJ_PG07_002.html,,완료,2024-03-12,
15,취업패스,,강연신청,,,,html/PJ_PG07_003.html,,완료,2024-03-12,
16,취업패스,고객센터,,,,,html/PJ_PG08_001.html,,완료,2024-03-13,
17,취업패스,수강후기,,,,,html/PJ_PG09_001.html,,진행중,2024-03-13,
18,취업패스,강사채용,,,,,html/PJ_PG10_001.html,,완료,2024-03-13,
19,취업패스,자주하는질문,,,,,html/PJ_PG11_001.html,,완료,2024-03-13,
20,취업패스,빠른상담신청,,,,,html/PJ_PG12_001.html,,완료,2024-03-13,
21,취업패스,회원가입,약권동의,,,,html/PJ_PG13_001.html,,완료,2024-03-13,
22,취업패스,,정보입력,,,,html/PJ_PG13_002.html,,완료,2024-03-13,
23,취업패스,,가입완료,,,,html/PJ_PG13_003.html,,완료,2024-03-13,
24,취업패스,로그인,,,,,html/PJ_PG14_001.html,,완료,2024-03-12,
25,취업패스,,통합로그인센터,,,,html/PJ_PG14_002.html,,완료,2024-03-12,
26,취업패스,,,아이디찾기 결과,,,,,완료,2024-03-12,PJ_PG14_002 에 포함
27,취업패스,,,비밀번호 재설정 결과,,,,,완료,2024-03-12,PJ_PG14_002 에 포함
28,취업패스,마이페이지,장바구니,,,,html/PJ_PG15_001.html,,완료,2024-03-13,
29,취업패스,,수강내역,,,,html/PJ_PG15_002.html,,완료,2024-03-13,PJ_PG15_001 에 포함
30,취업패스,,결제내역,,,,html/PJ_PG15_003.html,,완료,2024-03-13,PJ_PG15_001 에 포함
31,취업패스,,개인정보 수정,,,,html/PJ_PG15_004.html,,완료,2024-03-13,PJ_PG15_001 에 포함
32,취업패스,수강료 결제,,,,,html/PJ_PG16_001.html,,완료,2024-03-13,
